
UUJ170630_matabat2bin_435_proteins.faa	genome1
UUJ170818_matabat2bin_173_proteins.faa	genome90
UUJ180313_matabat2bin_303_proteins.faa	genome91
UUJ180718_matabat2bin_315_proteins.faa	genome92
117_Aedes_taeniorhynchus_iridescent_virus_proteins.faa	genome93
UUJ170501_matabat2bin_307_proteins.faa	genome94
UUJ170105_matabat2bin_15_proteins.faa	genome95
UUJ170630_matabat2bin_410_decontaminated_proteins.faa	genome96
UUJ171218_matabat2bin_8_proteins.faa	genome97
UUJ180802_matabat2bin_289_proteins.faa	genome98
UUJ180815_matabat2bin_374_proteins.faa	genome99
129_Port-miou_virus_proteins.faa	genome100
UUJ180622_matabat2bin_206_proteins.faa	genome101
UUJ180622_matabat2bin_293_decontaminated_proteins.faa	genome102
UUJ170523_matabat2bin_176_proteins.faa	genome103
UUJ171218_matabat2bin_162_proteins.faa	genome104
UUJ180903_matabat2bin_161_proteins.faa	genome105
UUJ170630_matabat2bin_47_proteins.faa	genome106
UUJ180313_matabat2bin_37_proteins.faa	genome107
176_Cotia_virus_SPAn232_proteins.faa	genome108
UUJ180725_matabat2bin_327_proteins.faa	genome109
UUJ180802_matabat2bin_19_proteins.faa	genome110
072_Pacmanvirus_A23_proteins.faa	genome111
073_African_swine_fever_virus_proteins.faa	genome112
UUJ171218_matabat2bin_130_proteins.faa	genome113
UUJ180802_matabat2bin_119_proteins.faa	genome114
UUJ170804_matabat2bin_355_proteins.faa	genome115
UUJ180313_matabat2bin_30_proteins.faa	genome116
UUJ180313_matabat2bin_65_proteins.faa	genome117
UUJ170630_matabat2bin_40_proteins.faa	genome118
UUJ180827_matabat2bin_5_proteins.faa	genome119
UUJ180510_matabat2bin_402_proteins.faa	genome120
UUJ180725_matabat2bin_320_proteins.faa	genome121
UUJ170626_matabat2bin_52_proteins.faa	genome122
UUJ170105_matabat2bin_313_proteins.faa	genome123
UUJ170105_matabat2bin_346_proteins.faa	genome124
053_Marseillevirus_marseillevirus_strain_T19_proteins.faa	genome125
168_Pigeonpox_virus_proteins.faa	genome126
UUJ171113_matabat2bin_303_proteins.faa	genome127
153_Emiliania_huxleyi_virus_207_proteins.faa	genome128
UUJ180802_matabat2bin_341_proteins.faa	genome129
UUJ170818_matabat2bin_199_proteins.faa	genome130
UUJ180219_matabat2bin_200_proteins.faa	genome131
UUJ180313_matabat2bin_266_proteins.faa	genome132
UUJ180622_matabat2bin_44_proteins.faa	genome133
UUJ170105_matabat2bin_314_proteins.faa	genome134
UUJ171027_matabat2bin_217_proteins.faa	genome135
UUJ180718_matabat2bin_198_decontaminated_proteins.faa	genome136
UUJ180622_matabat2bin_335_decontaminated_proteins.faa	genome137
UUJ171110_matabat2bin_66_decontaminated_proteins.faa	genome138
UUJ180802_matabat2bin_346_proteins.faa	genome139
UUJ180802_matabat2bin_313_proteins.faa	genome140
UUJ170818_matabat2bin_161_proteins.faa	genome141
UUJ170721_matabat2bin_57_proteins.faa	genome142
UUJ170412_matabat2bin_301_proteins.faa	genome143
UUJ180410_matabat2bin_10_proteins.faa	genome144
UUJ170412_matabat2bin_361_decontaminated_proteins.faa	genome145
UUJ170626_matabat2bin_47_proteins.faa	genome146
UUJ180510_matabat2bin_399_proteins.faa	genome147
UUJ170721_matabat2bin_231_proteins.faa	genome148
UUJ180718_matabat2bin_118_proteins.faa	genome149
047_Orpheovirus_IHUMI-LCC2_proteins.faa	genome150
UUJ180510_matabat2bin_417_proteins.faa	genome151
UUF170620_matabat2bin_399_proteins.faa	genome152
UUJ180815_matabat2bin_47_proteins.faa	genome153
UUJ170620_matabat2bin_17_proteins.faa	genome154
UUF170621_matabat2bin_253_proteins.faa	genome155
UUJ180815_matabat2bin_12_proteins.faa	genome156
UUJ180510_matabat2bin_211_proteins.faa	genome157
036_Pandoravirus_neocaledonia_proteins.faa	genome158
UUJ170927_matabat2bin_356_proteins.faa	genome159
UUJ180410_matabat2bin_17_proteins.faa	genome160
UUJ180510_matabat2bin_445_proteins.faa	genome161
186_NY_014_poxvirus_proteins.faa	genome162
UUJ180219_matabat2bin_97_proteins.faa	genome163
UUJ180622_matabat2bin_400_decontaminated_proteins.faa	genome164
UUM180827_matabat2bin_89_proteins.faa	genome165
175_Camelpox_virus_proteins.faa	genome166
UUJ180903_matabat2bin_486_decontaminated_proteins.faa	genome167
UUJ171027_matabat2bin_6_proteins.faa	genome168
UUJ170501_matabat2bin_337_proteins.faa	genome169
187_Parapoxvirus_red_deer_proteins.faa	genome170
UUJ170105_matabat2bin_241_proteins.faa	genome171
UUJ180718_matabat2bin_401_proteins.faa	genome172
UUJ180802_matabat2bin_364_proteins.faa	genome173
UUJ180622_matabat2bin_264_proteins.faa	genome174
UUJ170105_matabat2bin_364_proteins.faa	genome175
086_Yaravirus_brasiliensis_isolate_BHMG_proteins.faa	genome176
UUF170621_matabat2bin_27_proteins.faa	genome177
UUJ170412_matabat2bin_99_proteins.faa	genome178
UUJ180718_matabat2bin_406_proteins.faa	genome179
UUJ180510_matabat2bin_6_proteins.faa	genome180
UUJ170804_matabat2bin_414_proteins.faa	genome181
079_Nile_crocodilepox_virus_proteins.faa	genome182
195_Skunkpox_virus_proteins.faa	genome183
UUJ180410_matabat2bin_60_proteins.faa	genome184
UUJ180802_matabat2bin_129_proteins.faa	genome185
UUJ180510_matabat2bin_432_proteins.faa	genome186
183_Monkeypox_virus_Zaire-96-I-16_proteins.faa	genome187
UUJ180809_matabat2bin_151_decontaminated_proteins.faa	genome188
UUJ170726_matabat2bin_117_proteins.faa	genome189
UUJ170620_matabat2bin_438_proteins.faa	genome190
UUJ170927_matabat2bin_256_proteins.faa	genome191
UUJ170105_matabat2bin_56_decontaminated_proteins.faa	genome192
UUJ180725_matabat2bin_342_proteins.faa	genome193
UUJ180410_matabat2bin_98_proteins.faa	genome194
UUJ170626_matabat2bin_30_proteins.faa	genome195
194_Sheeppox_virus_proteins.faa	genome196
UUM180827_matabat2bin_126_proteins.faa	genome197
UUJ180510_matabat2bin_460_proteins.faa	genome198
UUJ171218_matabat2bin_50_proteins.faa	genome199
188_Pseudocowpox_virus_proteins.faa	genome200
UUJ171113_matabat2bin_361_proteins.faa	genome201
UUJ180622_matabat2bin_353_proteins.faa	genome202
UUJ170721_matabat2bin_67_proteins.faa	genome203
UUJ180903_matabat2bin_487_proteins.faa	genome204
023_Ostreococcus_tauri_virus_OtV5_proteins.faa	genome205
UUJ180827_matabat2bin_139_proteins.faa	genome206
UUJ180815_matabat2bin_427_proteins.faa	genome207
UUJ170620_matabat2bin_143_proteins.faa	genome208
UUJ180410_matabat2bin_174_proteins.faa	genome209
UUJ180219_matabat2bin_220_decontaminated_proteins.faa	genome210
151_Emiliania_huxleyi_virus_202_proteins.faa	genome211
UUJ170726_matabat2bin_91_proteins.faa	genome212
UUJ170630_matabat2bin_434_proteins.faa	genome213
UUJ170804_matabat2bin_12_proteins.faa	genome214
UUJ170615_matabat2bin_262_proteins.faa	genome215
UUJ180313_matabat2bin_2_proteins.faa	genome216
UUJ180528_matabat2bin_99_decontaminated_proteins.faa	genome217
UUJ180629_matabat2bin_86_proteins.faa	genome218
UUJ170706_matabat2bin_124_decontaminated_proteins.faa	genome219
UUJ170804_matabat2bin_377_proteins.faa	genome220
UUJ180827_matabat2bin_256_proteins.faa	genome221
UUJ180802_matabat2bin_96_proteins.faa	genome222
UUJ170804_matabat2bin_406_proteins.faa	genome223
UUJ170105_matabat2bin_191_proteins.faa	genome224
UUJ180815_matabat2bin_22_proteins.faa	genome225
011_Tupanvirus_soda_lake_proteins.faa	genome226
UUJ170818_matabat2bin_239_proteins.faa	genome227
UUJ180827_matabat2bin_402_proteins.faa	genome228
UUJ180827_matabat2bin_355_decontaminated_proteins.faa	genome229
UUJ171110_matabat2bin_303_proteins.faa	genome230
UUJ180802_matabat2bin_91_proteins.faa	genome231
UUJ180110_matabat2bin_229_proteins.faa	genome232
UUJ180510_matabat2bin_356_proteins.faa	genome233
UUJ180510_matabat2bin_187_proteins.faa	genome234
UUJ180802_matabat2bin_436_proteins.faa	genome235
027_Heterosigma_akashiwo_virus_01_isolate_HaV53_proteins.faa	genome236
UUJ170412_matabat2bin_355_proteins.faa	genome237
UUJ180815_matabat2bin_245_proteins.faa	genome238
UUJ180903_matabat2bin_392_proteins.faa	genome239
UUJ170721_matabat2bin_56_proteins.faa	genome240
106_Rana_grylio_iridovirus_proteins.faa	genome241
UUJ180410_matabat2bin_110_proteins.faa	genome242
UUJ170501_matabat2bin_314_proteins.faa	genome243
UUJ180528_matabat2bin_269_proteins.faa	genome244
UUJ170501_matabat2bin_264_proteins.faa	genome245
UUJ170818_matabat2bin_198_proteins.faa	genome246
UUJ180802_matabat2bin_340_proteins.faa	genome247
UUJ170412_matabat2bin_225_proteins.faa	genome248
UUJ171218_matabat2bin_369_proteins.faa	genome249
022_Mimiviridae_sp_ChoanoV1_proteins.faa	genome250
180_Eptesipox_virus_proteins.faa	genome251
UUJ171113_matabat2bin_315_decontaminated_proteins.faa	genome252
UUJ180815_matabat2bin_444_proteins.faa	genome253
UUJ180925_matabat2bin_358_proteins.faa	genome254
UUJ170630_matabat2bin_405_proteins.faa	genome255
037_Pandoravirus_quercus_proteins.faa	genome256
UUJ170105_matabat2bin_347_proteins.faa	genome257
UUJ170721_matabat2bin_184_decontaminated_proteins.faa	genome258
UUJ180827_matabat2bin_434_proteins.faa	genome259
033_Bathycoccus_sp_RCC1105_virus_BpV1_proteins.faa	genome260
UUJ180528_matabat2bin_13_proteins.faa	genome261
UUJ170804_matabat2bin_76_proteins.faa	genome262
UUJ180718_matabat2bin_95_proteins.faa	genome263
UUJ170626_matabat2bin_14_proteins.faa	genome264
UUJ170726_matabat2bin_161_proteins.faa	genome265
013_Niemeyer_virus_proteins.faa	genome266
UUJ180510_matabat2bin_444_proteins.faa	genome267
UUJ170721_matabat2bin_347_proteins.faa	genome268
UUJ170630_matabat2bin_139_proteins.faa	genome269
UUJ171218_matabat2bin_171_proteins.faa	genome270
UUJ170706_matabat2bin_87_proteins.faa	genome271
UUJ170804_matabat2bin_119_decontaminated_proteins.faa	genome272
UUJ180815_matabat2bin_13_proteins.faa	genome273
UUJ170612_matabat2bin_102_proteins.faa	genome274
UUJ170804_matabat2bin_24_proteins.faa	genome275
UUJ180510_matabat2bin_332_proteins.faa	genome276
097_Cod_iridovirus_proteins.faa	genome277
UUJ170927_matabat2bin_350_proteins.faa	genome278
UUJ170626_matabat2bin_235_decontaminated_proteins.faa	genome279
UUJ180725_matabat2bin_334_proteins.faa	genome280
UUJ180510_matabat2bin_443_proteins.faa	genome281
UUJ170105_matabat2bin_41_proteins.faa	genome282
184_Murmansk_poxvirus_proteins.faa	genome283
204_Yoka_poxvirus_proteins.faa	genome284
UUJ180815_matabat2bin_375_proteins.faa	genome285
UUJ180903_matabat2bin_58_proteins.faa	genome286
UUJ170721_matabat2bin_11_proteins.faa	genome287
UUJ170623_matabat2bin_88_proteins.faa	genome288
189_Pteropox_virus_proteins.faa	genome289
UUJ170818_matabat2bin_25_proteins.faa	genome290
UUJ180725_matabat2bin_139_proteins.faa	genome291
063_Wiseana_iridescent_virus_proteins.faa	genome292
UUF170621_matabat2bin_43_proteins.faa	genome293
UUJ170105_matabat2bin_355_proteins.faa	genome294
048_Golden_Marseillevirus_proteins.faa	genome295
112_Soft-shelled_turtle_iridovirus_proteins.faa	genome296
UUJ180410_matabat2bin_150_proteins.faa	genome297
UUJ170501_matabat2bin_4_proteins.faa	genome298
UUM180827_matabat2bin_278_proteins.faa	genome299
030_Feldmannia_species_virus_proteins.faa	genome300
UUJ180718_matabat2bin_313_proteins.faa	genome301
UUJ170306_matabat2bin_160_proteins.faa	genome302
139_Mollivirus_sibericum_proteins.faa	genome303
UUJ170105_matabat2bin_288_proteins.faa	genome304
UUJ170105_matabat2bin_277_proteins.faa	genome305
UUJ180827_matabat2bin_4_proteins.faa	genome306
UUJ170620_matabat2bin_423_decontaminated_proteins.faa	genome307
UUJ170615_matabat2bin_363_proteins.faa	genome308
UUJ180410_matabat2bin_51_proteins.faa	genome309
031_Micromonas_pusilla_virus_SP1_proteins.faa	genome310
UUJ170927_matabat2bin_345_proteins.faa	genome311
UUJ170927_matabat2bin_310_proteins.faa	genome312
UUJ170620_matabat2bin_409_proteins.faa	genome313
UUJ170721_matabat2bin_352_proteins.faa	genome314
UUJ180725_matabat2bin_40_proteins.faa	genome315
UUJ180313_matabat2bin_36_proteins.faa	genome316
UUJ180510_matabat2bin_404_proteins.faa	genome317
UUJ180410_matabat2bin_295_proteins.faa	genome318
UUM180827_matabat2bin_142_proteins.faa	genome319
UUJ170927_matabat2bin_317_proteins.faa	genome320
UUJ180925_matabat2bin_28_proteins.faa	genome321
UUJ171218_matabat2bin_84_decontaminated_proteins.faa	genome322
UUJ170523_matabat2bin_177_proteins.faa	genome323
UUJ180725_matabat2bin_12_proteins.faa	genome324
UUJ180510_matabat2bin_167_proteins.faa	genome325
137_Moumouvirus_australiensis_proteins.faa	genome326
UUJ180925_matabat2bin_262_proteins.faa	genome327
UUJ180510_matabat2bin_198_proteins.faa	genome328
UUJ180802_matabat2bin_285_proteins.faa	genome329
UUJ170523_matabat2bin_365_proteins.faa	genome330
UUJ170306_matabat2bin_5_proteins.faa	genome331
092_Ambystoma_tigrinum_stebbensi_virus_proteins.faa	genome332
UUJ170105_matabat2bin_19_proteins.faa	genome333
UUJ170927_matabat2bin_89_proteins.faa	genome334
UUM171110_matabat2bin_250_proteins.faa	genome335
UUJ170630_matabat2bin_411_decontaminated_proteins.faa	genome336
UUJ180622_matabat2bin_385_proteins.faa	genome337
UUJ170620_matabat2bin_195_proteins.faa	genome338
UUJ180718_matabat2bin_269_proteins.faa	genome339
UUJ170306_matabat2bin_76_proteins.faa	genome340
UUJ180802_matabat2bin_2_proteins.faa	genome341
UUJ170306_matabat2bin_2_proteins.faa	genome342
089_Heliothis_virescens_ascovirus_3h_proteins.faa	genome343
UUJ170818_matabat2bin_245_proteins.faa	genome344
UUJ180815_matabat2bin_135_proteins.faa	genome345
UUJ180219_matabat2bin_176_proteins.faa	genome346
UUJ170927_matabat2bin_295_proteins.faa	genome347
UUJ180925_matabat2bin_22_proteins.faa	genome348
UUJ180718_matabat2bin_20_proteins.faa	genome349
096_Chinese_giant_salamander_iridovirus_proteins.faa	genome350
UUJ171218_matabat2bin_327_decontaminated_proteins.faa	genome351
108_Red_sea-bream_iridovirus_proteins.faa	genome352
UUJ170927_matabat2bin_238_proteins.faa	genome353
UUJ180802_matabat2bin_15_proteins.faa	genome354
UUJ180510_matabat2bin_387_proteins.faa	genome355
UUJ180510_matabat2bin_409_proteins.faa	genome356
UUJ180827_matabat2bin_105_proteins.faa	genome357
UUJ170630_matabat2bin_164_decontaminated_proteins.faa	genome358
UUM180827_matabat2bin_336_decontaminated_proteins.faa	genome359
182_Lumpy_skin_disease_virus_NI-2490_proteins.faa	genome360
UUJ170523_matabat2bin_38_proteins.faa	genome361
UUJ170523_matabat2bin_72_decontaminated_proteins.faa	genome362
062_Daphnia_iridovirus_1_proteins.faa	genome363
UUJ171218_matabat2bin_214_proteins.faa	genome364
UUJ180528_matabat2bin_346_proteins.faa	genome365
UUJ180528_matabat2bin_313_proteins.faa	genome366
UUJ170626_matabat2bin_294_proteins.faa	genome367
077_Anomala_cuprea_entomopoxvirus_proteins.faa	genome368
UUJ170612_matabat2bin_267_proteins.faa	genome369
UUJ180622_matabat2bin_373_decontaminated_proteins.faa	genome370
UUJ170630_matabat2bin_49_decontaminated_proteins.faa	genome371
UUJ180313_matabat2bin_292_proteins.faa	genome372
UUJ171218_matabat2bin_99_decontaminated_proteins.faa	genome373
UUJ180903_matabat2bin_488_decontaminated_proteins.faa	genome374
002_Megavirus_chiliensis_proteins.faa	genome375
UUJ170630_matabat2bin_379_proteins.faa	genome376
UUJ170523_matabat2bin_325_proteins.faa	genome377
UUJ180802_matabat2bin_318_proteins.faa	genome378
UUJ180510_matabat2bin_172_proteins.faa	genome379
UUJ180903_matabat2bin_416_proteins.faa	genome380
UUJ180925_matabat2bin_8_proteins.faa	genome381
UUJ180925_matabat2bin_270_decontaminated_proteins.faa	genome382
UUJ170623_matabat2bin_5_proteins.faa	genome383
UUJ180510_matabat2bin_449_proteins.faa	genome384
UUJ170714_matabat2bin_356_proteins.faa	genome385
171_Choristoneura_biennis_entomopoxvirus_proteins.faa	genome386
UUJ170927_matabat2bin_278_proteins.faa	genome387
UUJ170620_matabat2bin_416_proteins.faa	genome388
UUJ170804_matabat2bin_84_proteins.faa	genome389
UUJ180827_matabat2bin_56_proteins.faa	genome390
UUJ170523_matabat2bin_162_decontaminated_proteins.faa	genome391
003_Cafeteria_roenbergensis_virus_BV-PW1_proteins.faa	genome392
UUJ180313_matabat2bin_157_proteins.faa	genome393
UUJ170412_matabat2bin_112_proteins.faa	genome394
UUJ170804_matabat2bin_319_proteins.faa	genome395
UUJ180110_matabat2bin_14_proteins.faa	genome396
UUJ180510_matabat2bin_248_proteins.faa	genome397
UUJ180510_matabat2bin_152_decontaminated_proteins.faa	genome398
UUJ171110_matabat2bin_248_proteins.faa	genome399
UUJ180219_matabat2bin_163_proteins.faa	genome400
UUJ170523_matabat2bin_168_proteins.faa	genome401
UUJ171218_matabat2bin_129_proteins.faa	genome402
UUJ180622_matabat2bin_283_proteins.faa	genome403
UUJ171218_matabat2bin_307_proteins.faa	genome404
208_Dikerogammarus_haemobaphes_virus_1_proteins.faa	genome405
UUJ170927_matabat2bin_173_proteins.faa	genome406
UUJ180815_matabat2bin_279_proteins.faa	genome407
UUJ170804_matabat2bin_137_proteins.faa	genome408
UUJ170523_matabat2bin_341_proteins.faa	genome409
178_Deerpox_virus_W-848-83_proteins.faa	genome410
066_Infectious_spleen_and_kidney_necrosis_virus_proteins.faa	genome411
UUJ180925_matabat2bin_331_proteins.faa	genome412
UUJ170612_matabat2bin_373_proteins.faa	genome413
161_Ostreococcus_lucimarinus_virus_OlV5_proteins.faa	genome414
UUF170621_matabat2bin_92_proteins.faa	genome415
UUJ180510_matabat2bin_34_proteins.faa	genome416
UUJ170412_matabat2bin_86_proteins.faa	genome417
UUJ170714_matabat2bin_332_proteins.faa	genome418
061_Invertebrate_iridescent_virus_6_proteins.faa	genome419
UUJ170412_matabat2bin_171_proteins.faa	genome420
UUJ180802_matabat2bin_163_proteins.faa	genome421
UUJ180219_matabat2bin_100_proteins.faa	genome422
UUJ170818_matabat2bin_266_proteins.faa	genome423
UUJ170306_matabat2bin_226_proteins.faa	genome424
150_Emiliania_huxleyi_virus_201_proteins.faa	genome425
UUJ180827_matabat2bin_386_proteins.faa	genome426
UUJ180827_matabat2bin_379_proteins.faa	genome427
196_Swinepox_virus_proteins.faa	genome428
UUJ170105_matabat2bin_164_proteins.faa	genome429
UUJ180313_matabat2bin_133_proteins.faa	genome430
UUM180827_matabat2bin_193_proteins.faa	genome431
UUJ180219_matabat2bin_152_proteins.faa	genome432
UUJ180815_matabat2bin_111_proteins.faa	genome433
UUJ170630_matabat2bin_150_proteins.faa	genome434
UUJ170721_matabat2bin_384_proteins.faa	genome435
UUJ171110_matabat2bin_286_proteins.faa	genome436
UUJ180313_matabat2bin_8_proteins.faa	genome437
UUJ170620_matabat2bin_475_proteins.faa	genome438
UUJ170523_matabat2bin_223_proteins.faa	genome439
UUM180827_matabat2bin_334_proteins.faa	genome440
119_Armadillidium_vulgare_iridescent_virus_proteins.faa	genome441
UUJ180725_matabat2bin_150_proteins.faa	genome442
UUJ170927_matabat2bin_47_proteins.faa	genome443
UUJ170612_matabat2bin_366_proteins.faa	genome444
UUJ170105_matabat2bin_28_proteins.faa	genome445
UUJ171218_matabat2bin_340_proteins.faa	genome446
UUJ180629_matabat2bin_269_decontaminated_proteins.faa	genome447
UUJ180903_matabat2bin_234_proteins.faa	genome448
UUJ180725_matabat2bin_308_decontaminated_proteins.faa	genome449
UUJ180718_matabat2bin_155_decontaminated_proteins.faa	genome450
UUJ180110_matabat2bin_5_proteins.faa	genome451
132_Megavirus_courdo11_proteins.faa	genome452
UUJ180510_matabat2bin_151_proteins.faa	genome453
UUJ180827_matabat2bin_174_proteins.faa	genome454
UUJ171113_matabat2bin_184_decontaminated_proteins.faa	genome455
UUJ180410_matabat2bin_193_proteins.faa	genome456
UUJ180510_matabat2bin_239_proteins.faa	genome457
UUJ180510_matabat2bin_293_proteins.faa	genome458
UUJ170612_matabat2bin_70_proteins.faa	genome459
032_Micromonas_sp_RCC1109_virus_MpV1_proteins.faa	genome460
UUJ171113_matabat2bin_133_proteins.faa	genome461
UUJ170818_matabat2bin_303_proteins.faa	genome462
UUJ180802_matabat2bin_23_proteins.faa	genome463
UUJ180802_matabat2bin_76_proteins.faa	genome464
080_Canarypox_virus_proteins.faa	genome465
UUJ180815_matabat2bin_68_proteins.faa	genome466
UUJ170726_matabat2bin_25_decontaminated_proteins.faa	genome467
UUJ180809_matabat2bin_168_proteins.faa	genome468
UUJ180510_matabat2bin_438_proteins.faa	genome469
UUJ170412_matabat2bin_131_proteins.faa	genome470
181_Goatpox_virus_Pellor_proteins.faa	genome471
024_Ostreococcus_lucimarinus_virus_OlV1_proteins.faa	genome472
UUJ170623_matabat2bin_273_proteins.faa	genome473
UUJ180510_matabat2bin_51_proteins.faa	genome474
UUJ170927_matabat2bin_37_proteins.faa	genome475
UUJ180925_matabat2bin_354_proteins.faa	genome476
UUJ170523_matabat2bin_324_proteins.faa	genome477
UUJ180725_matabat2bin_9_proteins.faa	genome478
UUJ171113_matabat2bin_279_proteins.faa	genome479
UUJ170412_matabat2bin_359_proteins.faa	genome480
UUJ170306_matabat2bin_186_proteins.faa	genome481
UUJ180510_matabat2bin_174_proteins.faa	genome482
UUJ170927_matabat2bin_30_proteins.faa	genome483
UUJ170612_matabat2bin_344_proteins.faa	genome484
UUJ170927_matabat2bin_65_proteins.faa	genome485
101_German_gecko_ranavirus_proteins.faa	genome486
UUJ180622_matabat2bin_219_proteins.faa	genome487
UUJ170306_matabat2bin_62_proteins.faa	genome488
142_Paramecium_bursaria_Chlorella_virus_AR158_proteins.faa	genome489
UUJ180313_matabat2bin_294_proteins.faa	genome490
UUJ180410_matabat2bin_149_proteins.faa	genome491
UUM180827_matabat2bin_234_proteins.faa	genome492
UUJ180802_matabat2bin_296_proteins.faa	genome493
UUJ171027_matabat2bin_91_decontaminated_proteins.faa	genome494
UUJ170630_matabat2bin_43_decontaminated_proteins.faa	genome495
UUJ170501_matabat2bin_107_proteins.faa	genome496
UUJ170620_matabat2bin_445_proteins.faa	genome497
152_Emiliania_huxleyi_virus_203_proteins.faa	genome498
UUJ180827_matabat2bin_50_proteins.faa	genome499
UUJ170620_matabat2bin_410_proteins.faa	genome500
200_Variola_virus_proteins.faa	genome501
UUJ180219_matabat2bin_137_proteins.faa	genome502
